"x","y_obs_TiannaGreenMAPbBr50I50.tif_Azm=_0.00"
18.716,53.625
18.734,45.899
18.752,40.352
18.77,36.486
18.788,34.231
18.806,32.845
18.824,32.163
18.842,31.628
18.86,31.632
18.878,31.324
18.896,31.19
18.914,31.079
18.932,31.065
18.95,30.929
18.968,31.027
18.986,30.776
19.004,30.829
19.022,30.892
19.04,30.947
19.058,30.722
19.076,30.781
19.094,30.691
19.112,30.613
19.13,30.57
19.148,30.598
19.166,30.711
19.184,30.751
19.202,30.594
19.22,30.642
19.238,30.747
19.256,30.544
19.274,30.467
19.292,30.592
19.31,30.564
19.328,30.587
19.346,30.695
19.364,30.604
19.382,30.634
19.4,30.606
19.418,30.516
19.436,30.673
19.454,30.498
19.472,30.648
19.49,30.609
19.508,30.555
19.526,30.575
19.544,30.593
19.562,30.627
19.58,30.453
19.598,30.523
19.616,30.392
19.634,30.417
19.652,30.566
19.67,30.467
19.688,30.578
19.706,30.348
19.724,30.436
19.742,30.6
19.76,30.727
19.778,30.629
19.796,30.701
19.814,30.502
19.832,30.735
19.85,30.587
19.868,31.021
19.886,31.677
19.904,31.986
19.922,32.175
19.94,32.416
19.958,32.516
19.976,32.732
19.994,32.666
20.012,32.871
20.03,32.916
20.048,32.832
20.066,32.809
20.084,32.821
20.102,33.067
20.12,33.071
20.138,33.03
20.156,32.938
20.174,33.109
20.192,33.11
20.21,33.102
20.228,33.15
20.246,33.211
20.264,33.327
20.282,33.411
20.3,33.352
20.318,33.297
20.336,33.153
20.354,33.177
20.372,33.152
20.39,33.157
20.408,33.476
20.426,33.563
20.444,33.466
20.462,33.315
20.48,33.44
20.498,33.569
20.516,33.258
20.534,33.398
20.552,33.599
20.57,33.661
20.588,33.516
20.606,33.643
20.624,33.79
20.642,33.729
20.66,33.801
20.678,33.714
20.696,33.827
20.714,33.942
20.732,34.208
20.75,34.213
20.768,34.611
20.786,35.202
20.804,36.477
20.822,38.015
20.84,41.808
20.858,47.741
20.876,55.558
20.894,62.238
20.912,64.865
20.93,62.883
20.948,57.514
20.966,50.968
20.984,44.71
21.002,40.227
21.02,37.466
21.038,35.791
21.056,34.912
21.074,34.194
21.092,33.917
21.11,33.721
21.128,33.539
21.146,33.403
21.164,33.481
21.182,33.342
21.2,33.185
21.218,33.181
21.236,33.028
21.254,33.165
21.272,32.953
21.29,33.061
21.308,32.959
21.326,32.893
21.344,32.862
21.362,32.832
21.38,32.916
21.398,32.85
21.416,32.846
21.434,32.797
21.452,32.841
21.47,32.748
21.488,32.653
21.506,32.822
21.524,32.725
21.542,32.662
21.56,32.643
21.578,32.569
21.596,32.526
21.614,32.53
21.632,32.32
21.65,32.371
21.668,32.335
21.686,32.573
21.704,32.493
21.722,32.398
21.74,32.504
21.758,32.575
21.776,32.556
21.794,32.401
21.812,32.61
21.83,32.548
21.848,32.568
21.866,32.421
21.884,33.222
21.902,39.43
21.92,32.571
21.938,32.374
21.956,32.268
21.974,32.318
21.992,32.163
22.01,32.136
22.028,32.112
22.046,32.029
22.064,31.953
22.082,32.033
22.1,31.988
22.118,32.062
22.136,32.001
22.154,31.981
22.172,31.778
22.19,31.948
22.208,31.838
22.226,31.817
22.244,31.737
22.262,31.651
22.28,31.701
22.298,31.674
22.316,31.708
22.334,31.574
22.352,31.633
22.37,31.662
22.388,31.54
22.406,31.617
22.424,31.631
